bundle_id,planned_respondents,expected_time_seconds,num_categories,categories
1,2612,145.98,10,"Big and Tall Men's Clothing; Fertility or IVF service; Baby products; Nappies & wipes; Accounting Services (Sole Traders); Self Tan (Female Only); Car Rental; Shares, brokers, and trading apps/website; Alcohol Free Drinks; Baby and Child Products"
2,1220,268.08,10,Baby Feeding; Online Betting Services; Car Finance; Weight-loss; White Spirits; Designer Women's Clothing; Dark Spirits; Women's Activewear (Female Only); Female Clothing (Black Pepper); Online Healthcare
3,878,348.16,10,Vocational Training; Men's Clothing (Male Only); Luxury Leather Bags/Accessories; Craft Beer; Buy Now Pay Later (Gimmie); Period Products; Funeral Services; Mental Performance Supplements; Car & Motorhome Rentals; Recruitment
4,784,417.89,10,Meal Kit Delivery Service; Pre-mixed alcoholic drinks/RTDs; Fresh Coffee; Car Modifications; Alcohol Free Beer; Children's Television; Men's Online Health Providers; Camping Equipments; Indoor & Outdoor Cleaners; Skincare (Female Only)
5,608,435.89,8,"Dog Food; Beddings; Shares, funds, and term deposits; Real Estate Service; Buy Now Pay Later (Laybuy); Blinds & Window Furnishings; Umbrellas; Natural Health Supplements"
6,531,471.24,8,"Free-from Baked Goods; Outdoor Pursuits Apparel; Floor Cleaning Appliances; Female Skincare; Chips, Crisps, Crackers; Skincare; Nutrition & Fitness Services; Furniture & Homeware"
7,442,463.98,7,"Mattresses, beds, and pillows; Female Fashion; Outdoor Apparel; Coffee; Sugar confectionery; Healthy Snacks; Massage, beauty and Wellness Services"
8,401,463.35,6,Suncare; Fast Food; Chocolate bars and blocks; Prescription Eyewear; Eco Products; Peanut or Nut Butter
9,331,379.1,4,Car Insurance; Health & Beauty Retailers; Kitchenware Retailers; Chocolate
10,290,377.96,3,Breakfast or Health Foods; Chocolate confectionery; Wealth Management
11,244,128.3,1,Healthy Beverages
